;i=1;i=1;i=1;i=1;;i=2;i=2;i=2;i=2;;i=3;i=3;i=3;i=3;;i=4;i=4;i=4;i=4;;i=5;i=5;i=5;i=5;;i=6;i=6;i=6;i=6;;i=7;i=7;i=7;i=7
78;  150.9182;  302.7657;  433.1772;  653.5678;;  151.0125;  302.0986;  450.0386;  662.9830;;  151.3996;  313.3521;  450.1347;  658.1333;;  150.4944;  289.3637;  446.5868;  644.0725;;  149.7057;  299.0042;  444.9451;  641.5450;;  151.2628;  298.9615;  452.6121;  642.9548;;  154.9546;  298.3380;  453.8004;  643.0385
79;  154.6272;  308.3109;  448.3436;  684.6746;;  154.7980;  295.3981;  442.7748;  644.8243;;  152.3562;  304.0133;  446.3808;  675.9275;;  147.0199;  291.8167;  441.5827;  649.9251;;  152.9619;  299.9467;  454.8737;  651.6447;;  149.8725;  294.8701;  452.4645;  640.1826;;  148.7258;  294.5093;  458.9387;  626.7454
80;  149.7766;  296.7464;  455.5268;  643.0536;;  147.7563;  305.3115;  446.1657;  618.4429;;  152.7677;  295.4211;  446.0339;  643.2602;;  149.9771;  311.3065;  453.5800;  636.7220;;  147.1727;  298.4206;  453.7911;  652.9184;;  150.1381;  299.6569;  450.7884;  637.9879;;  147.8205;  296.6281;  451.4791;  624.7467
81;  151.4889;  302.5242;  451.9895;  644.7856;;  149.8303;  299.0299;  453.5673;  657.0299;;  151.6141;  293.2014;  454.4753;  639.7207;;  146.4697;  298.9835;  450.5398;  625.5979;;  150.4644;  306.0118;  453.4398;  655.8499;;  148.5192;  298.5970;  447.3098;  652.7422;;  144.6752;  295.7830;  453.1787;  657.5191
82;  156.7078;  302.7185;  453.1866;  649.8927;;  151.6572;  310.4310;  446.6134;  654.6274;;  146.7833;  298.9521;  452.7842;  658.0065;;  147.7615;  288.1746;  448.8833;  673.8973;;  152.3840;  297.0994;  446.8436;  644.7445;;  149.7263;  304.2941;  452.6815;  643.6816;;  153.4693;  294.7425;  454.2743;  652.8353
83;  152.2624;  298.0254;  461.4775;  644.2837;;  146.2148;  308.6373;  450.8552;  652.0716;;  149.7382;  300.4884;  452.8560;  633.7944;;  153.5123;  301.1979;  447.9323;  664.4368;;  149.6282;  302.5366;  457.4748;  645.3526;;  150.7907;  303.4428;  440.3900;  649.6700;;  150.8058;  310.1628;  456.1715;  653.6257
84;  147.0093;  285.4862;  442.5399;  645.2187;;  150.0114;  290.6374;  437.1483;  649.2096;;  149.5372;  292.8894;  444.6525;  640.0559;;  147.1767;  299.1681;  450.3276;  635.2215;;  151.3444;  302.9816;  447.2024;  653.8867;;  147.5718;  301.2873;  455.5219;  649.8185;;  147.8492;  303.8903;  455.3755;  668.2609
85;  151.1201;  296.1506;  462.4178;  656.2756;;  149.3068;  297.3329;  450.8933;  643.0243;;  146.8921;  297.0678;  468.4856;  634.3530;;  150.9829;  289.3094;  451.8987;  626.4186;;  150.3198;  298.9813;  451.6332;  651.2754;;  153.2680;  304.3007;  458.6618;  652.2047;;  152.8072;  295.5559;  457.4303;  638.9569
86;  153.6054;  301.8764;  457.2840;  654.4908;;  148.0980;  297.5630;  452.5566;  658.2372;;  150.5600;  303.7833;  450.3108;  651.1524;;  146.8801;  300.2513;  440.9938;  664.6165;;  148.3669;  303.0989;  453.3153;  651.6729;;  147.4142;  295.4807;  452.8135;  656.6112;;  149.5738;  302.9775;  450.7232;  658.1808
87;  147.6450;  299.7514;  455.2073;  645.1207;;  153.4623;  299.8819;  451.4929;  660.8330;;  151.2375;  284.0625;  446.4878;  654.4648;;  148.3700;  299.9962;  462.0689;  648.4530;;  148.2616;  296.4136;  449.5364;  650.8998;;  152.3092;  303.9419;  450.0743;  642.1261;;  150.0654;  306.5068;  459.9588;  668.1053
88;  153.1959;  297.0320;  458.4870;  664.4476;;  151.7586;  300.2452;  449.9852;  640.4057;;  148.4448;  310.9920;  453.6301;  654.0412;;  149.6635;  290.4454;  442.2806;  643.1690;;  148.0631;  302.3710;  445.8295;  646.1601;;  149.3560;  297.6434;  445.8251;  651.5279;;  148.8758;  307.5458;  476.0877;  668.3024
89;  147.6876;  297.8853;  439.3427;  662.8843;;  150.1264;  305.3155;  441.6906;  667.7519;;  148.3747;  293.3681;  451.1776;  646.9336;;  144.3589;  294.6109;  453.8238;  653.0367;;  150.0592;  302.3692;  454.3360;  648.5981;;  149.8087;  296.3403;  450.5266;  652.1160;;  146.9531;  291.0188;  451.7144;  675.6531
90;  152.1632;  305.3699;  454.3184;  652.9054;;  153.0858;  303.6151;  451.9106;  658.6052;;  150.4388;  285.6972;  453.2528;  666.8521;;  153.7860;  300.9224;  463.6915;  647.7327;;  152.0931;  296.7852;  448.1281;  646.6047;;  150.1286;  305.3632;  456.1872;  657.0663;;  153.9340;  297.0357;  461.4331;  648.7257
91;  143.9812;  293.1850;  452.1877;  649.2155;;  147.9161;  297.0514;  450.0664;  622.9311;;  153.1285;  300.0577;  452.8873;  661.1171;;  156.9809;  302.8628;  467.4559;  663.7168;;  149.5140;  302.1443;  449.4754;  654.1199;;  150.4900;  295.5088;  458.0708;  646.8795;;  150.5694;  297.4562;  433.7695;  634.6758
92;  147.7902;  287.5847;  443.5021;  644.0060;;  152.8593;  287.1459;  442.3426;  666.9253;;  152.0715;  289.6471;  447.8816;  643.4565;;  153.9349;  304.0994;  447.6681;  657.4797;;  146.7803;  300.6627;  449.7148;  658.5052;;  151.9124;  297.7341;  444.1675;  660.6987;;  146.0423;  298.0006;  453.2336;  643.1828
93;  149.2817;  292.4063;  442.8247;  662.8811;;  149.6152;  303.9852;  453.7824;  658.9742;;  147.5413;  299.8775;  436.8574;  647.1178;;  148.6852;  302.9238;  452.7738;  643.8353;;  148.9470;  307.6181;  453.5385;  648.3111;;  147.3123;  302.2474;  447.8871;  665.5224;;  150.3876;  303.2497;  449.9295;  678.8740
94;  149.6147;  294.9192;  452.8277;  635.9266;;  148.0998;  293.8833;  475.1730;  641.5603;;  146.2263;  303.7770;  463.0574;  640.6115;;  146.5847;  305.6091;  438.2519;  654.4189;;  147.2460;  296.6527;  449.6395;  650.4746;;  149.5070;  296.8223;  443.8655;  653.8216;;  150.5013;  298.8739;  459.6789;  658.7058
95;  150.1954;  306.9527;  444.4675;  647.7695;;  148.4006;  293.6280;  463.4726;  643.4669;;  156.3862;  297.1135;  429.1259;  632.8665;;  148.5079;  302.4821;  442.6190;  651.3107;;  151.2106;  296.7976;  449.8656;  638.9684;;  150.2839;  300.2429;  440.0724;  650.5697;;  147.1057;  301.7241;  452.8845;  640.0178
96;  155.1818;  304.0471;  452.4219;  634.0527;;  147.3580;  307.9999;  436.9033;  664.5223;;  156.1329;  308.3670;  456.9865;  640.5167;;  153.1889;  291.7465;  449.1079;  649.9566;;  150.0546;  300.3575;  444.9446;  658.9757;;  148.3712;  298.1378;  447.4854;  664.2772;;  150.6609;  302.9277;  459.7234;  632.4788
97;  149.0788;  297.6015;  453.4657;  650.6222;;  152.4329;  301.4673;  455.4922;  642.8422;;  148.0989;  298.7004;  433.8753;  619.0499;;  150.9375;  294.9525;  448.8189;  655.9856;;  150.5177;  299.1460;  452.6893;  650.7347;;  150.3874;  297.0151;  455.8194;  653.1697;;  151.8406;  293.0626;  458.4945;  652.6989
98;  145.4771;  298.2695;  461.6665;  668.6700;;  151.2104;  299.4865;  437.8112;  644.8820;;  146.7942;  297.5878;  465.8924;  649.8554;;  150.9190;  304.9084;  454.0939;  634.1763;;  150.7972;  299.4564;  444.3537;  646.3019;;  149.3078;  293.7722;  451.7804;  653.4368;;  145.0842;  297.9068;  447.5397;  647.7656
99;  156.1891;  294.3962;  455.7937;  652.2633;;  151.5097;  307.6680;  429.9823;  664.6534;;  144.7321;  299.4012;  452.3828;  620.5675;;  147.7049;  298.3735;  444.6751;  667.0318;;  149.2438;  294.1136;  447.4781;  641.8388;;  146.5104;  296.1534;  447.5787;  648.6551;;  153.6053;  305.4739;  449.3222;  626.3803
100;  149.6097;  306.3221;  450.0241;  657.9873;;  140.8045;  295.4196;  448.7189;  635.6401;;  148.3278;  311.3888;  437.6255;  643.1198;;  146.2463;  302.6990;  450.4470;  633.7797;;  151.5910;  299.1808;  449.9158;  651.8454;;  151.3984;  296.9634;  449.7714;  641.2741;;  148.2225;  292.8891;  431.8395;  632.7431
