;i=1;i=1;i=1;i=1;i=1;;i=2;i=2;i=2;i=2;i=2;;i=3;i=3;i=3;i=3;i=3;;i=4;i=4;i=4;i=4;i=4;;i=5;i=5;i=5;i=5;i=5;;i=6;i=6;i=6;i=6;i=6;;i=7;i=7;i=7;i=7;i=7
63;   19.7453;   41.1649;   60.8868;   77.8962;  100.7170;;   18.8739;   40.6671;   62.4185;   79.4868;  104.6745;;   19.7848;   41.0598;   60.7751;   78.9841;  103.3479;;   20.5019;   41.4429;   58.1316;   77.5907;  100.4999;;   20.0430;   39.5196;   59.8718;   80.3606;  100.9942;;   19.2887;   39.5303;   60.1860;   77.3870;   97.7602;;   19.4472;   38.2083;   58.0249;   85.1415;  100.8423
64;   20.8374;   39.7552;   61.8578;   77.8983;   99.6838;;   19.4772;   39.9380;   61.8044;   81.6420;  101.2239;;   20.2208;   39.5052;   60.2700;   79.9432;  100.9487;;   19.7335;   40.3187;   61.9241;   78.7197;  100.0977;;   20.0412;   40.5940;   59.6071;   79.1954;  100.0145;;   19.7360;   39.2542;   61.6926;   81.1371;  101.6394;;   20.1035;   38.5707;   60.5530;   81.5093;   97.2360
65;   20.0824;   39.8289;   61.7118;   79.5104;   99.9043;;   19.9376;   40.9556;   56.3172;   76.5149;  103.7165;;   19.4299;   39.7099;   59.2678;   80.9553;  101.4780;;   20.1629;   40.7382;   56.3198;   78.9680;  102.2355;;   19.9580;   40.3120;   60.3885;   80.5610;  100.4944;;   19.8022;   40.1139;   59.1096;   80.3879;   98.8635;;   19.3785;   40.0997;   59.6354;   79.6427;  103.3977
66;   19.8001;   41.7158;   60.9601;   78.7364;   99.3502;;   19.7568;   40.3794;   62.4435;   76.4992;  100.7985;;   19.8188;   40.2072;   61.0257;   81.5883;   99.5054;;   20.0050;   40.3806;   57.5368;   80.8433;   98.0859;;   20.0910;   39.8100;   59.1191;   79.6221;   98.8703;;   19.4079;   40.1254;   59.4168;   82.5150;  104.0097;;   20.2247;   40.4108;   62.1611;   77.1695;   98.6061
67;   20.2999;   41.2375;   58.4265;   77.2345;  102.1606;;   18.7216;   41.1909;   58.6955;   80.6598;  104.1285;;   20.4588;   39.7515;   56.8474;   81.5551;  102.0673;;   19.4990;   38.8306;   59.5722;   75.4520;   97.8671;;   20.1414;   40.0400;   59.7878;   80.2208;  101.2050;;   19.1460;   39.2169;   60.1927;   79.3367;   99.5075;;   19.7900;   40.3329;   60.2712;   80.4895;   99.3387
68;   20.2711;   39.6653;   60.8168;   78.6316;  101.9677;;   20.1079;   38.0782;   56.1656;   77.5444;  101.1706;;   19.5924;   39.2046;   60.0843;   80.6362;  103.0843;;   19.5901;   39.2273;   60.6288;   80.6672;   99.2817;;   20.2770;   40.0839;   60.5604;   80.5929;  101.4760;;   19.4915;   41.4002;   60.8749;   83.0989;  102.7659;;   19.9033;   40.8100;   58.3525;   81.9004;  103.2345
69;   20.0207;   39.1415;   60.0888;   82.5676;  101.4080;;   20.4576;   39.1658;   58.2202;   79.7729;  102.1286;;   20.3950;   40.3596;   63.0784;   82.3157;   99.1158;;   19.9744;   39.8431;   56.5308;   77.1902;   98.1029;;   20.1794;   39.2594;   60.0725;   81.0119;  100.1872;;   19.4929;   38.4206;   59.1222;   80.8426;   98.1716;;   19.3001;   38.8424;   59.5102;   79.1812;  102.0618
70;   19.9683;   39.8433;   62.8227;   79.0417;  104.4581;;   20.4444;   40.5519;   59.5775;   81.8534;  104.1188;;   19.9176;   40.0078;   60.6985;   80.9201;   98.3260;;   19.8629;   39.7754;   59.1939;   76.9029;   98.7271;;   19.9817;   40.2944;   59.9921;   79.6243;   96.8253;;   19.8606;   40.0412;   62.3134;   80.3811;   99.3092;;   20.7965;   39.0831;   63.8376;   81.6947;   98.9131
71;   19.5978;   41.1032;   60.4292;   80.9949;  101.3418;;   19.7262;   39.2284;   59.6270;   78.5372;  104.5892;;   20.7811;   40.5326;   57.8746;   81.7565;   96.8884;;   20.2224;   40.6220;   59.9080;   79.0855;  100.3219;;   20.0789;   40.1114;   59.5312;   80.3477;  100.0847;;   20.4836;   40.4809;   60.0224;   81.2877;  101.3130;;   20.2325;   39.8263;   63.2165;   81.2212;  104.4381
72;   19.8757;   40.4062;   60.2475;   79.9098;   97.7655;;   19.6705;   40.0879;   59.3702;   75.3096;   97.9333;;   19.5959;   39.0826;   61.7225;   78.6714;   99.9089;;   20.0799;   39.6509;   58.5446;   80.1160;  100.5771;;   19.9740;   39.7597;   60.3054;   81.1944;   98.8925;;   20.2386;   38.9867;   62.2191;   81.5614;  102.5277;;   20.4804;   38.5784;   57.4444;   80.7962;   99.8925
73;   19.5261;   40.3836;   59.6280;   81.5903;   99.9124;;   19.5652;   42.1078;   57.9744;   82.4990;  103.8544;;   20.5384;   40.6964;   57.5655;   80.6142;   99.8736;;   20.4601;   40.4898;   59.9918;   79.5833;  100.1048;;   20.1905;   40.5235;   60.7642;   80.5000;  100.5242;;   20.3955;   38.9380;   60.6176;   78.3555;   96.2640;;   19.8264;   38.8213;   61.8960;   82.6549;  100.1371
74;   20.0207;   38.7329;   61.1110;   79.6211;  101.1965;;   20.8808;   37.7189;   61.7292;   79.1402;   93.8486;;   19.6939;   40.2158;   60.9164;   77.9405;  100.3012;;   19.9052;   41.0005;   59.6155;   80.0400;   98.5028;;   19.8783;   40.7047;   61.3641;   80.9367;   99.2374;;   19.5298;   40.1222;   57.5117;   80.0648;   97.6545;;   21.1717;   39.2449;   60.1403;   77.9502;  100.7669
75;   19.7062;   40.7851;   57.5141;   81.5738;  104.9356;;   19.4344;   40.6026;   62.2640;   81.1082;   99.6447;;   20.6559;   40.8189;   61.5571;   80.3705;   98.3537;;   19.9480;   39.2379;   61.0647;   79.8079;  100.4413;;   19.8273;   39.3049;   59.2441;   81.6534;   99.1655;;   20.5198;   40.5274;   58.4135;   77.1858;   99.7029;;   19.2690;   38.8435;   59.0382;   82.6842;   94.8613
76;   19.1233;   39.9222;   58.9639;   78.6724;   99.7059;;   20.1151;   40.2608;   58.2365;   77.4231;  102.1183;;   19.3566;   40.2011;   58.3571;   79.7730;  101.5981;;   20.3856;   41.0311;   58.8728;   76.1949;   99.8960;;   20.1750;   39.4244;   58.7746;   81.1272;   99.7678;;   19.9946;   40.7475;   59.2433;   81.1210;   97.3423;;   20.5764;   41.3760;   59.0428;   82.9086;  100.4487
77;   20.2662;   39.7105;   58.7648;   79.7569;   96.7389;;   19.9253;   38.2444;   63.2687;   71.6903;  107.6143;;   19.8862;   41.6721;   60.4237;   79.4170;  104.3535;;   20.1618;   39.8682;   60.3245;   78.1104;   99.0027;;   20.2032;   40.1908;   59.9961;   80.0085;   99.3374;;   20.3837;   40.2962;   58.9792;   76.8770;   99.9257;;   20.1090;   41.1271;   61.9234;   82.5357;  100.3836
78;   19.0893;   40.1652;   60.0941;   75.3820;  102.2896;;   20.3453;   39.3923;   58.2946;   79.2247;   98.2688;;   20.2374;   40.3621;   59.2360;   80.3282;   99.1186;;   19.9149;   39.2066;   58.3918;   80.5786;  101.5696;;   19.8926;   39.8917;   60.2471;   80.7675;   99.8548;;   20.5372;   39.6544;   59.9159;   80.4967;   94.0292;;   20.9215;   40.0974;   58.8136;   75.9780;   98.7765
79;   20.6303;   39.0015;   60.7948;   83.7527;  102.8488;;   20.5482;   39.7435;   60.1538;   79.1752;   98.6560;;   20.0269;   41.1712;   60.8304;   82.2423;   95.2463;;   19.8668;   40.1918;   58.8496;   79.7511;   97.5568;;   19.9794;   40.3651;   59.6234;   80.1409;  101.4952;;   20.0274;   39.8065;   61.6259;   81.0056;  100.4847;;   20.6498;   40.2018;   60.1032;   77.5183;   99.9442
80;   20.2286;   39.7496;   61.7484;   78.0461;  101.5944;;   20.2312;   41.0382;   61.2890;   73.9839;   97.3690;;   19.9178;   41.1056;   59.8132;   80.3395;  100.3279;;   19.7097;   40.0217;   59.3219;   79.6127;  100.4761;;   20.2029;   40.4809;   59.8580;   81.5362;   98.9594;;   20.3183;   40.3140;   60.7846;   81.0065;   97.9085;;   20.1228;   42.0160;   60.8999;   81.4650;  102.6870
81;   19.7356;   39.7471;   59.5799;   80.7280;   99.4488;;   19.1986;   39.4575;   61.4289;   79.3482;  101.0589;;   20.0735;   40.8288;   58.5013;   80.0139;  102.8923;;   20.1339;   39.4068;   59.5721;   81.2861;  101.2271;;   20.0160;   39.6705;   59.9344;   79.1524;   99.7650;;   19.5905;   39.9803;   61.6723;   81.9198;  100.0218;;   19.1782;   41.1703;   57.9399;   82.7087;  101.1228
82;   19.8462;   40.5838;   59.8445;   78.8705;  100.6350;;   20.2161;   41.0910;   58.2584;   79.6888;   97.6813;;   20.2766;   39.5929;   61.4252;   78.2079;   98.4653;;   19.5877;   41.1551;   59.9397;   79.6997;   98.1047;;   20.0313;   40.0084;   59.9049;   79.8856;   98.0177;;   20.6852;   39.2542;   59.6266;   77.7630;  102.1089;;   19.7720;   40.4180;   60.5545;   80.9218;   94.9552
83;   19.4341;   40.7416;   58.6598;   79.6860;  100.8525;;   20.0698;   39.5389;   63.6612;   79.0354;   96.4421;;   19.5559;   39.6025;   58.6500;   83.0934;   99.9882;;   19.7715;   40.5907;   60.0304;   79.5887;  100.1045;;   19.9317;   39.9064;   59.4587;   79.9022;  100.2683;;   20.1912;   39.4163;   60.8166;   80.3780;   97.4407;;   19.6791;   41.0529;   59.4083;   80.4517;   97.6580
84;   19.6757;   39.2494;   60.4418;   82.2122;   99.4092;;   19.0271;   42.4977;   58.9212;   75.1689;  100.1900;;   19.5357;   38.9005;   59.6842;   80.5936;  100.1100;;   20.0510;   40.1976;   61.4167;   81.1063;   97.8503;;   20.2062;   39.9793;   60.2717;   80.1641;  100.9281;;   20.1597;   41.1502;   59.6378;   80.2393;  100.1741;;   20.4234;   38.7148;   58.1828;   78.0311;   96.2872
85;   19.8051;   40.3568;   59.3939;   78.9980;  103.2781;;   20.3099;   41.4551;   61.7975;   86.7801;   98.5286;;   20.2007;   41.3802;   60.2887;   77.8138;   98.9486;;   19.9581;   38.7907;   61.5127;   77.3725;   98.7547;;   20.0121;   39.7319;   59.6682;   78.9172;  100.6291;;   20.5980;   39.0290;   58.8297;   82.0994;   97.3867;;   19.8611;   39.6921;   64.0130;   79.5742;   95.7449
86;   19.2476;   39.5512;   59.8750;   77.4917;  100.3851;;   20.1239;   41.8306;   60.8883;   82.5947;   98.5719;;   19.7459;   38.8569;   57.1766;   80.7514;  100.2569;;   20.1677;   39.0722;   59.3828;   80.2565;   99.6304;;   19.7483;   39.9217;   60.5156;   78.8102;  101.9052;;   20.5528;   40.3880;   63.1654;   80.3057;  100.9512;;   19.1168;   42.0535;   60.6263;   79.8707;  101.2387
87;   19.8104;   39.5958;   61.5921;   80.7105;   99.7505;;   20.4295;   39.4986;   61.6231;   77.1770;  101.7349;;   20.4008;   41.3745;   57.9374;   81.7758;   96.8054;;   19.8165;   39.2083;   60.1984;   82.7783;   96.7255;;   20.3879;   39.4881;   60.0667;   79.8567;   99.1219;;   20.3470;   40.1238;   61.1897;   80.9715;   99.7847;;   20.2954;   39.7655;   59.4370;   81.4068;   97.3710
88;   21.0439;   39.0379;   60.7839;   77.2947;  101.3100;;   19.7756;   38.5738;   58.9835;   79.9100;   98.4991;;   19.8374;   40.1732;   59.0898;   81.6885;   99.3646;;   19.8482;   39.9680;   60.5227;   79.5278;   97.4523;;   19.8918;   40.2210;   59.6597;   80.4248;  100.6414;;   19.6417;   38.4201;   59.8539;   79.1108;   99.6206;;   19.7425;   39.0736;   56.8665;   76.7797;  104.0410
89;   20.0737;   39.8719;   60.2626;   78.4150;   99.9779;;   20.3619;   39.1669;   61.5045;   79.6804;  104.4968;;   20.1427;   41.1508;   58.4118;   80.5246;   99.3348;;   19.8141;   40.8785;   59.3801;   82.2708;  100.0578;;   20.0627;   39.5485;   59.5319;   80.8722;  100.8513;;   19.5364;   39.0798;   60.0592;   82.4426;  103.3530;;   20.7838;   39.3865;   59.3595;   82.4794;  105.1225
90;   20.1313;   40.7109;   59.1786;   78.2767;  102.3750;;   18.6767;   39.0198;   61.9369;   79.8367;   97.5138;;   19.2873;   41.1186;   59.5864;   80.7575;   99.0085;;   20.1364;   40.5558;   60.2931;   77.8410;   98.2009;;   19.9039;   39.7927;   60.2944;   79.6118;   99.9174;;   20.1618;   40.1905;   60.9419;   81.6778;   97.7112;;   19.2482;   40.4527;   59.0434;   85.6816;  100.0382
91;   19.5004;   40.3847;   59.5604;   77.5896;   99.5491;;   19.5380;   41.0642;   59.4829;   83.0998;   98.3635;;   19.4672;   38.4704;   61.2935;   81.8848;   97.9266;;   19.3565;   40.9681;   62.4995;   79.1389;  102.0205;;   19.9490;   40.4452;   58.3983;   80.0691;   99.7077;;   20.0498;   41.2083;   58.1624;   81.3962;   97.8158;;   20.0387;   40.2315;   61.0178;   80.7822;  105.2272
92;   20.2153;   39.3355;   58.5450;   80.3323;  103.9577;;   20.1615;   38.8456;   62.4208;   83.4009;   99.7172;;   20.5400;   42.0939;   58.6864;   79.6510;  101.4265;;   19.4200;   40.8935;   60.0132;   78.9456;  101.4729;;   20.0023;   40.4949;   60.1088;   79.9240;   98.1614;;   20.1156;   40.1874;   60.2180;   80.6316;  103.5751;;   20.2783;   40.1596;   58.9256;   79.2867;   99.9457
93;   19.6152;   39.4076;   60.8811;   81.6062;   99.3866;;   19.7840;   40.1976;   60.2340;   76.2319;   95.4242;;   19.5181;   41.0290;   60.7043;   82.5573;   99.2128;;   20.1699;   40.7901;   59.8407;   80.9617;   98.9844;;   19.9367;   40.8032;   59.2644;   78.0386;  100.9913;;   19.5675;   39.8916;   59.2681;   79.1347;   96.3005;;   19.8793;   37.6885;   60.5022;   79.6139;  104.7213
94;   19.7113;   41.3385;   62.3399;   80.3197;  100.0957;;   19.8384;   41.0286;   58.1506;   86.1705;   99.7721;;   19.8578;   40.0072;   60.4239;   78.9409;  100.4243;;   19.9837;   42.1639;   60.9096;   78.9242;   99.2453;;   20.0538;   39.6096;   60.1950;   79.8669;  101.3204;;   19.8040;   39.2306;   60.4192;   81.2709;  100.1913;;   20.0039;   40.7525;   59.2916;   78.2722;  102.5769
95;   20.1643;   40.0773;   62.0049;   78.2054;  103.4256;;   20.0015;   39.4847;   59.5936;   76.8630;  102.7548;;   19.9393;   40.2565;   61.2838;   80.6422;  103.4104;;   20.5161;   40.5491;   61.1047;   80.6765;  103.2502;;   20.1165;   40.0752;   59.3978;   79.0396;   99.3110;;   19.4838;   39.1592;   59.4621;   78.5029;  103.1514;;   19.9509;   40.1935;   56.7282;   79.4872;   98.1197
96;   19.5749;   39.4954;   60.0525;   77.9592;  100.2873;;   19.9945;   38.6432;   61.6087;   80.3683;  100.4255;;   19.3242;   40.7021;   61.2334;   80.7551;   99.5503;;   19.3187;   38.5548;   58.3787;   83.2141;  100.1178;;   20.2692;   39.7503;   60.8635;   80.1745;  100.8417;;   19.4820;   40.1455;   60.8281;   81.2637;  101.6350;;   20.4363;   39.4244;   60.6166;   78.2025;  104.3246
97;   20.8593;   40.9650;   58.5910;   83.8883;  100.6574;;   20.7180;   41.1368;   58.5737;   81.0500;   98.0755;;   19.8963;   39.5294;   60.2202;   82.1665;   97.9811;;   20.0693;   39.3358;   61.5356;   80.9216;  100.4724;;   20.0704;   40.6354;   59.4208;   80.7118;  101.2283;;   20.0635;   38.8810;   58.4899;   79.9930;   99.4541;;   19.7074;   39.1875;   60.8055;   83.7403;   99.8220
98;   19.7538;   39.9983;   59.0254;   81.9820;  100.5178;;   19.8410;   40.2621;   63.4212;   77.5674;  103.0473;;   19.6721;   37.8811;   58.9828;   80.6623;   99.5938;;   20.4135;   40.1448;   59.2476;   77.5453;   99.6299;;   20.1661;   40.4978;   59.0923;   80.1748;  101.0045;;   20.1764;   39.5142;   58.7651;   78.9797;  100.6637;;   20.7110;   40.2519;   61.4068;   83.4790;   97.7069
99;   19.3708;   39.8725;   57.5439;   79.0862;   97.3796;;   20.4955;   40.7174;   58.7317;   77.8638;   94.1843;;   20.1420;   40.3410;   60.2641;   83.6818;   98.2333;;   20.0602;   39.9023;   61.0268;   80.7986;  101.4535;;   19.4706;   40.4702;   59.3753;   78.9826;  102.4396;;   19.7799;   40.4267;   62.2227;   79.2463;   99.3815;;   20.7730;   41.3599;   57.9131;   81.7759;   97.2036
100;   20.3085;   39.4923;   62.5901;   80.0479;   99.5063;;   18.5061;   40.2929;   57.6791;   79.5556;   97.9051;;   19.3270;   37.9754;   60.0650;   79.8764;   99.0075;;   19.5587;   40.1890;   61.5269;   79.7390;  101.7838;;   20.4721;   40.5970;   60.5712;   80.5730;   99.6067;;   20.0095;   39.5144;   60.9215;   81.3319;   99.4035;;   20.3320;   37.9301;   59.4812;   81.8032;  101.5607
